0.0960789, 0.06, 0.02
0.0775881, 0.06, 0.06
0.06, 0.0775881, 0.06
0.06, 0.06, 0.0775881
0.06, 0.0775881, 0.06
0.0775881, 0.06, 0.06
0.06, 0.0775881, 0.06
0.0960789, 0.06, 0.02
0.06, 0.0960789, 0.02
0.06, 0.0960789, 0.02
0.0960789, 0.06, 0.02
0.0960789, 0.06, -0.02
0.06, 0.0960789, 0.02
0.0960789, 0.06, -0.02
0.06, 0.0960789, -0.02
0.0960789, 0.06, -0.02
0.0960789, 0.06, 0.02
0.1, 0.0530196, 0.02
0.0960789, 0.06, -0.02
0.1, 0.0530196, 0.02
0.1, 0.0530196, -0.02
0.1, 0.0530196, 0.02
0.111511, 0.02, 0.02
0.111511, 0.02, -0.02
0.1, 0.0530196, 0.02
0.111511, 0.02, -0.02
0.1, 0.0530196, -0.02
0.1, 0.0530196, -0.02
0.111511, 0.02, -0.02
0.1, 0.02, -0.0530196
0.1, 0.02, -0.0530196
0.111511, 0.02, -0.02
0.111511, -0.02, -0.02
0.1, 0.02, -0.0530196
0.111511, -0.02, -0.02
0.1, -0.02, -0.0530196
0.111511, -0.02, -0.02
0.1, -0.0530196, -0.02
0.1, -0.02, -0.0530196
0.111511, -0.02, -0.02
0.111511, -0.02, 0.02
0.1, -0.0530196, 0.02
0.111511, -0.02, -0.02
0.1, -0.0530196, 0.02
0.1, -0.0530196, -0.02
0.1, -0.0530196, 0.02
0.111511, -0.02, 0.02
0.1, -0.02, 0.0530196
0.111511, -0.02, 0.02
0.111511, 0.02, 0.02
0.1, 0.02, 0.0530196
0.111511, -0.02, 0.02
0.1, 0.02, 0.0530196
0.1, -0.02, 0.0530196
0.1, 0.02, 0.0530196
0.0960789, 0.02, 0.06
0.0960789, -0.02, 0.06
0.1, 0.02, 0.0530196
0.0960789, -0.02, 0.06
0.1, -0.02, 0.0530196
0.0960789, -0.02, 0.06
0.0960789, 0.02, 0.06
0.06, 0.02, 0.0960789
0.0960789, -0.02, 0.06
0.06, 0.02, 0.0960789
0.06, -0.02, 0.0960789
0.06, 0.02, 0.0960789
0.0530196, 0.02, 0.1
